filename	ttr	1st-pro	2nd-pro	3rd-pro	punct	subcorpus
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990014.txt	0.5042735042735043	0.014245014245014245	0.008547008547008548	0.014245014245014245	0.1111111111111111	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990017.txt	0.28604898828541003	0.00362087326943557	0.00021299254526091586	0.011501597444089457	0.15718849840255592	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990048.txt	0.29353106622347225	0.0038353362311429303	0.0010227563283047815	0.020710815648171822	0.1979033495269752	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990055.txt	0.3495412844036697	0.0	0.0	0.008256880733944955	0.12752293577981652	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990071.txt	0.2301466275659824	0.0002346041055718475	0.0	0.006334310850439883	0.15378299120234604	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990078.txt	0.3756865616990114	0.0010984987184181618	0.0003661662394727206	0.006957158549981692	0.15891614793116074	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990129.txt	0.5369649805447471	0.0	0.0	0.023346303501945526	0.11284046692607004	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990198.txt	0.6143497757847534	0.004484304932735426	0.004484304932735426	0.008968609865470852	0.15246636771300448	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990202.txt	0.6372549019607843	0.0	0.0	0.029411764705882353	0.0784313725490196	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990209.txt	0.5916030534351145	0.0	0.0	0.04580152671755725	0.13358778625954199	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990222.txt	0.490787269681742	0.0	0.0	0.038525963149078725	0.1541038525963149	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990236.txt	0.4780316344463972	0.01054481546572935	0.007029876977152899	0.01757469244288225	0.15641476274165203	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990244.txt	0.5592705167173252	0.0	0.0	0.0547112462006079	0.1033434650455927	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990251.txt	0.5296442687747036	0.0	0.0	0.0	0.11067193675889328	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990277.txt	0.41759352881698686	0.011122345803842264	0.003033367037411527	0.017189079878665317	0.12841253791708795	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990327.txt	0.28958760537707906	0.0	0.000227842333105491	0.00683526999316473	0.12873091820460242	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990346.txt	0.29116711524345484	0.002446782481037436	0.0	0.015904086126743332	0.114509420112552	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990399.txt	0.32971428571428574	0.004	0.0017142857142857142	0.04742857142857143	0.168	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990404.txt	0.40298507462686567	0.0021321961620469083	0.0021321961620469083	0.017057569296375266	0.2068230277185501	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990408.txt	0.675531914893617	0.010638297872340425	0.005319148936170213	0.031914893617021274	0.19148936170212766	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990412.txt	0.4358490566037736	0.007547169811320755	0.0018867924528301887	0.02830188679245283	0.17169811320754716	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990483.txt	0.43891891891891893	0.003243243243243243	0.0	0.01945945945945946	0.1491891891891892	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990487.txt	0.29522497704315886	0.0036730945821854912	0.0027548209366391185	0.016988062442607896	0.17447199265381083	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990493.txt	0.40486169321039395	0.002514668901927913	0.0	0.025146689019279127	0.14249790444258173	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990496.txt	0.36919592298980747	0.0	0.008493771234428085	0.01642129105322763	0.1319365798414496	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990505.txt	0.2752063150340868	0.0	0.0	0.005920344456404736	0.1372443487621098	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990507.txt	0.219533527696793	0.0005247813411078718	0.0	0.009037900874635569	0.1485131195335277	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990510.txt	0.23696918404938516	0.0005974013043261811	0.0	0.009458853985164535	0.14940010952357247	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990588.txt	0.406816533720087	0.0007251631617113851	0.0	0.02973168963016679	0.14213197969543148	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990595.txt	0.32611027676464277	0.0032181935207037118	0.001072731173567904	0.043338339412143316	0.1484659944217979	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990612.txt	0.2965470548408937	0.001015572105619499	0.0013540961408259986	0.0050778605280974946	0.13202437373053486	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990626.txt	0.227251162349369	9.48856627763545e-05	0.0	0.011101622544833475	0.1570357718948667	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990633.txt	0.2906783502039583	0.00015108022359873092	0.00015108022359873092	0.006345369391146699	0.16966309110137484	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990661.txt	0.22110195967054813	0.006106219823913661	0.0008520306731042318	0.0187446748082931	0.14512922465208747	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990740.txt	0.3296071542638135	0.0047908016608112424	0.0019163206643244969	0.026509102523155543	0.15522197381028424	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990781.txt	0.3213411188547749	0.000565078169146732	0.0	0.020154454699566775	0.1585986061405161	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990788.txt	0.30129104687061464	0.000561324726354196	0.0	0.006735896716250351	0.18860510805500982	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990843.txt	0.6763005780346821	0.0	0.0	0.011560693641618497	0.12716763005780346	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990879.txt	0.4117647058823529	0.0	0.0	0.03489531405782652	0.15453639082751744	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990932.txt	0.24366855175805263	0.0013523481681829359	0.00012294074256208508	0.02298991885910991	0.12244897959183673	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990939.txt	0.22455710516396532	0.00018846588767433095	9.423294383716548e-05	0.017715793441387108	0.14087825103656237	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990947.txt	0.4178498985801217	0.0	0.002028397565922921	0.028397565922920892	0.11764705882352941	IN
D:\python_projects\F18_DIGHT360\assignments\Mini-CORE\1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990961.txt	0.5	0.0	0.0	0.023391812865497075	0.1286549707602339	IN
